APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,12,39,0,1,V7L4X2,1,0,637.0083333,1340.199167,2098.8875,,1311.61,,0,0,0.583333333,5.416666667,6.916666667,3.833333333,0,0,4,0,0,D,800,,,31752.5,2113.043478
N,65,69,0,1,V6P1W9,1,0,89485.27333,0,649947.005,,6186.895833,,0,0,19.33333333,0,0,15.5,0,0,7,0,-1,C,580,150,1256,41937.93103,8627.586207
Y,94,29,1,0,V3S7K7,1,1,1574.215,0,6250.793333,,12637.17333,,0,0,2.5,1.583333333,17.66666667,1.833333333,3.5,0,4.1,-2,-7,C,1330,520,2624,32206.01504,3030.357143
N,108,35,0,1,V3L3N2,1,1,5450.218333,0.22,9814.025,,0,158177.6725,0,0,0.583333333,1.083333333,3.333333333,1.083333333,0.666666667,0,6,0,0,B,800,,,31351.25,2762.857143
Y,130,55,1,0,V3R7S1,1,0,431.9775,0,640.1758333,,3626.9975,60247.62167,0,0,1.166666667,4.5,19.58333333,3.666666667,0,0,5,0,-1,C,1110,290,1130,27208.10811,1151.851852
N,136,62,0,1,V6S1X6,0,0,130.0941667,6.09,23674.09417,,0.291666667,,0,0,0.083333333,0,0,0,0,0,5,0,1,E,590,270,1812,51394.91525,6137.777778
N,149,34,0,1,V5P1W9,1,0,0,0,68.365,,4318.33,,0,0,4.416666667,9.25,2,0.25,0,0,4,0,0,D,850,370,1828,25721.17647,3316.41791
Y,191,60,0,1,V5R1K9,1,0,0,9755.756667,22904.94,,86170.90667,,0,0,4.333333333,0,0.916666667,1.416666667,3.583333333,0,5,0,2,A,780,350,1362,24224.35897,4218.644068
N,213,47,1,0,V5M1E2,1,1,1479.625833,1797.978333,44976.60333,,108.9388889,,0,0,7.75,3.583333333,0.166666667,3.416666667,6.333333333,0,4.7,-1,4,D,790,360,1443,25839.24051,3603.846154
Y,228,36,0,1,V5B2K5,1,1,10060.68083,0,10271.85833,,0,,0,0,0.416666667,2.083333333,13.75,4.25,1,0,4,0,0,D,690,330,1679,34926.08696,4650
Y,237,32,1,0,V6L1W2,1,1,0,0.02,61.0375,,3476.8075,,0,0,0.583333333,4.333333333,19.75,1.666666667,4.666666667,0,4,0,0,D,560,270,1895,52989.28571,7940.384615
Y,242,58,0,1,V6L3H1,1,0,3930.109167,87.52916667,4565.790833,,1744.7325,527322.3392,0,0,1.083333333,0.333333333,0,0.833333333,0,0,5,0,0,A,590,250,1299,28871.18644,7327.419355
N,304,30,0,1,V4C7P9,1,1,2142.589167,0,2223.479167,,4749.545833,,0,0,1.833333333,7.166666667,30,3.166666667,3.5,0,4,0,-1,D,660,270,1033,32840.90909,2582.142857
Y,306,24,0,1,V5B3K2,1,0,9307.941667,1138.908333,10505.4125,,0,,0,0,2.083333333,8.5,7.25,0.833333333,0,0,4,0,0,D,1000,450,1978,31652,3445
